,ID,age,height_cm,weight_kg,overall,pac,sho,pas,dri,def,phy,skill_moves,weak_foot,work_rate_att,work_rate_def
144,223963,18,187,80,62,67,32,48,50,62,67,2,2,Medium,Medium
241,223977,19,170,62,60,81,50,47,65,17,43,3,2,High,Medium
364,223979,18,167,61,66,78,63,59,73,36,52,3,3,High,Medium
431,224017,21,183,77,59,55,42,58,55,56,63,2,3,Medium,Medium
333,224021,20,179,82,68,84,59,60,70,30,56,3,4,Medium,Low
195,224263,20,176,67,61,71,33,53,53,60,61,2,3,High,Medium
111,224294,20,175,71,71,73,56,68,76,63,70,3,4,Medium,Medium
232,224371,20,174,70,65,76,62,55,71,34,62,3,3,Medium,Medium
156,224656,20,182,82,66,83,36,50,67,63,67,2,3,High,Medium
453,224887,20,175,72,58,71,61,41,55,17,49,2,3,Medium,Medium
286,225024,20,184,63,67,76,42,54,65,66,71,2,3,Medium,Medium
113,225100,20,188,77,70,77,30,53,65,69,72,2,3,Medium,Medium
124,225462,21,173,68,60,76,56,52,63,21,49,2,2,Medium,Low
11,225539,19,187,80,70,75,67,62,73,25,63,3,3,High,Medium
107,225543,20,184,69,59,60,56,56,62,43,57,1,2,Medium,Medium
278,225719,20,185,82,75,84,75,60,74,22,68,3,3,High,Medium
158,225782,19,177,71,66,83,53,62,65,57,66,3,4,Medium,Medium
214,225785,19,178,67,67,82,54,54,72,18,52,3,2,Medium,Medium
160,226401,19,185,80,68,69,63,66,72,46,55,3,3,Medium,Low
185,226790,20,183,74,77,74,60,65,67,78,80,2,4,Medium,High
302,227681,22,180,73,60,70,60,45,55,23,58,2,3,High,Medium
4,227854,19,183,74,56,55,26,48,48,57,59,2,3,Medium,Medium
106,227995,19,178,66,63,70,60,62,61,51,59,2,3,High,Medium
55,228295,21,189,75,72,62,34,53,65,73,74,2,3,Medium,Medium
35,228332,19,178,64,66,70,44,58,62,64,73,3,3,Medium,High
168,228382,20,183,77,64,78,62,46,62,27,72,2,3,High,Medium
98,228407,20,181,67,60,58,47,58,61,50,58,2,3,Medium,Medium
24,228410,19,193,80,62,67,61,62,61,42,59,1,3,Medium,Medium
295,228509,19,183,75,63,75,48,58,68,44,56,3,3,Medium,Medium
413,228813,20,173,68,70,66,61,70,72,58,53,3,3,Medium,Medium
387,229266,19,190,76,58,55,29,37,41,60,58,2,3,Medium,High
161,229348,19,181,64,62,84,34,41,60,61,49,2,2,Medium,Medium
64,229682,19,191,72,68,66,29,44,45,69,66,2,3,Medium,Medium
92,229718,18,185,70,59,67,52,62,62,40,50,3,3,High,Medium
346,229901,18,200,79,59,35,28,40,53,57,65,2,3,Medium,Medium
284,229984,20,178,77,70,76,43,64,71,66,69,2,3,High,Medium
399,230005,19,180,70,73,73,61,71,74,58,73,3,3,Medium,Medium
283,230640,21,188,76,58,65,60,42,55,22,57,2,3,Medium,Medium
373,230666,20,175,73,81,87,79,71,87,26,67,4,4,High,High
248,230697,20,180,68,56,62,55,60,61,44,49,3,3,Medium,Medium
362,230807,19,177,70,53,61,28,34,52,52,56,2,3,Medium,Medium
189,230882,20,178,83,60,54,33,35,40,63,61,2,2,Medium,Medium
67,230899,19,174,78,64,84,68,48,73,17,60,2,4,High,Medium
256,231172,20,188,75,55,53,54,56,54,28,55,1,2,Medium,Medium
33,231281,18,175,69,69,81,58,70,67,64,66,2,3,High,Medium
129,231410,17,170,68,66,76,64,55,73,23,46,3,4,High,Medium
116,231639,20,178,72,57,65,33,45,55,56,60,2,2,Medium,Medium
84,231673,18,184,77,59,66,47,57,60,48,59,2,3,Medium,Medium
243,231681,19,186,74,52,57,43,46,54,36,52,1,2,Medium,Medium
344,232099,21,191,82,71,67,68,67,67,69,77,2,3,Medium,Medium
52,232544,21,186,76,58,55,54,58,62,45,58,3,3,High,Medium
422,232757,19,172,60,60,63,50,61,64,45,45,3,3,Medium,Medium
82,232759,18,178,74,60,67,36,49,62,58,58,2,2,Medium,Medium
140,233064,18,175,64,65,69,58,64,71,44,47,3,4,Medium,Medium
235,233528,19,180,65,54,88,52,39,49,17,55,2,2,Medium,Medium
135,233601,20,183,75,74,75,62,71,77,43,65,4,4,High,High
115,233934,19,188,77,61,62,59,53,68,35,58,1,3,Medium,Medium
323,234249,18,191,77,59,57,58,43,56,28,66,2,3,High,Medium
10,234252,18,185,80,59,59,28,33,43,59,65,2,2,Medium,High
88,234645,20,175,75,57,58,35,36,57,62,52,2,3,High,Medium
391,234706,19,173,70,66,82,40,60,64,62,61,2,2,High,Medium
105,234743,18,183,71,58,67,54,45,57,29,65,3,3,Medium,Medium
172,235161,18,180,67,60,74,60,50,61,22,53,3,3,Medium,Medium
345,235458,20,196,95,60,59,32,36,41,55,80,2,2,Low,Medium
192,235855,18,175,70,63,88,61,51,70,23,54,3,3,Medium,Medium
65,236246,19,183,75,66,73,57,64,69,44,65,3,3,Medium,Medium
119,236248,17,174,72,65,77,62,57,68,21,53,3,4,High,Medium
269,236464,19,185,64,61,78,56,49,58,22,62,3,3,High,Low
420,237337,17,173,65,60,65,53,57,67,35,42,3,3,Medium,Medium
